,orig_index,f_form,def_form,voltage,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
335,310,V2(OF)3,V2O3,3.01,34.81,90.38,388.66,1170.07,3849.17,3.0,180.84,248.84,37.41,37.30,12.47,1.10,mp-763169,mp-21579,Spacegroup object (1),Spacegroup object (206),0.01,0.00,1.43,0.00,-,-,No,V3O5 + VOF,Complete
336,311,InAg3F6,InAg3,2.78,26.90,110.70,291.10,810.03,4603.23,6.0,340.33,428.29,188.00,187.77,31.33,1.50,mp-1211988,mp-30343,Spacegroup object (14),Spacegroup object (221),0.01,0.00,0.80,0.00,-,-,No,Ag + 0.3333 InF3,Complete
337,313,MnAlF5,MnAl,1.11,17.70,233.67,757.48,843.75,2800.34,5.0,1.92,1.81,0.34,0.15,0.07,-1.17,mp-28850,mp-771,Spacegroup object (63),Spacegroup object (123),0.01,0.00,4.41,0.00,0.42,-,No,AlF3 + Mn,Complete
338,314,MnCrF5,MnCr,1.64,19.11,320.17,663.65,1089.60,3824.37,5.0,3.86,5.51,0.78,0.59,0.16,-0.81,mp-555156,mp-1221647,Spacegroup object (15),Spacegroup object (65),0.01,0.07,2.06,0.00,-,-,No,Cr + MnF2,Complete
339,315,NdSeF,NdSe,0.44,59.39,10.83,110.66,49.23,333.42,1.0,41.38,44.73,10.02,9.98,10.02,1.00,mp-12620,mp-1453,Spacegroup object (129),Spacegroup object (225),0.01,0.00,0.92,0.00,0.68,-,No,Nd2Se3 + NdF3,Complete
340,316,AlFeF5,AlFe,1.36,17.26,263.47,753.62,1027.40,3514.74,5.0,1.48,0.87,0.26,0.07,0.05,-1.28,mp-28901,mp-2658,Spacegroup object (71),Spacegroup object (221),0.01,0.00,4.26,0.00,0.72,-,No,AlFe3 + 2 AlF3,Complete
341,318,Ba2NF,Ba2N,-0.19,95.74,-12.04,87.11,-16.17,-86.30,1.0,0.36,0.25,0.11,0.07,0.11,-0.95,mp-1018096,mp-1892,Spacegroup object (166),Spacegroup object (166),0.01,0.00,1.13,0.00,0.91,-,No,Ba2N + 0.25 BaN2 + 0.75 BaF2,Complete
342,319,WO2F,WO2,2.72,62.97,68.69,114.13,310.06,1920.14,1.0,27.82,30.09,6.53,6.49,6.53,0.82,mp-765195,mp-19372,Spacegroup object (15),Spacegroup object (136),0.01,0.00,1.64,0.00,0.54,-,No,W8O21 + 4.2 WOF3 + 0.4 W,Complete
343,320,ZrCuF6,ZrCu,1.68,22.47,279.27,598.34,1008.19,3336.81,6.0,14.59,23.86,3.92,3.69,0.65,-0.18,mp-1215272,mp-1080022,Spacegroup object (225),Spacegroup object (8),0.01,0.02,0.00,0.00,-,-,No,Zr7Cu10 + 3 ZrF4,Complete
344,321,YSeF,YSe,0.36,67.47,39.60,143.43,51.60,237.28,1.0,24.00,26.48,4.48,4.45,4.48,0.65,mp-1187888,mp-2637,Spacegroup object (62),Spacegroup object (225),0.01,0.00,2.43,0.00,1.10,-,No,Y2Se3 + YF3,Complete
