,orig_index,f_form,def_form,voltage,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
448,779,Mn5O5F,Mn7O7F,1.91,543.11,2.51,20.49,39.14,156.52,0.3,1.47,1.47,0.55,0.76,1.93,0.28,mp-753550,mp-753904,Spacegroup object (156),Spacegroup object (156),0.05,0.06,0.00,0.00,1.37,1.37,No,MnO + 0.1667 Mn3O4 + 0.1667 MnF2,Partial
449,785,Li4VF8,Li4VF7,3.93,153.78,1.42,116.18,456.93,1138.25,1.0,92.19,100.29,21.27,21.23,21.27,1.33,mp-753340,mp-753113,Spacegroup object (3),Spacegroup object (216),0.06,0.01,1.93,0.00,-,-,No,Li2VF6 + 2 LiF,Partial
450,787,V2O2F3,VOF,3.04,86.57,24.25,140.41,426.67,1562.09,1.0,195.98,217.42,37.41,18.69,37.41,1.57,mp-764379,mp-754589,Spacegroup object (9),Spacegroup object (92),0.06,0.00,1.27,0.00,-,0.60,No,V2O3F + VF3,Partial
451,525,Mn2O2F9,MnOF,4.23,25.35,154.25,599.66,2534.51,7419.33,7.0,1.75,1.56,0.55,0.14,0.08,-1.11,mp-27807,mp-755209,Spacegroup object (15),Spacegroup object (65),0.00,0.02,0.61,0.01,-,2.79,No,MnF3 + MnO2,Partial
452,784,Li4CoOF5,Li4CoOF4,3.45,113.00,25.94,135.57,467.80,1358.99,1.0,22.48,24.66,4.44,4.41,4.44,0.65,mp-754887,mp-759652,Spacegroup object (12),Spacegroup object (139),0.06,0.05,0.00,0.02,0.23,0.23,No,Co3O4 + 16 LiF + CoF2,Partial
453,113,BaPdF4,BaPd,1.86,27.26,70.63,335.29,624.17,3038.81,4.0,16475.79,21611.86,5267.98,5267.83,1316.99,3.12,mp-12623,mp-1008505,Spacegroup object (140),Spacegroup object (63),0.00,0.00,1.45,0.03,1.68,-,No,BaPd2 + BaF2,Complete
454,400,ZnSbF5,ZnSb,2.29,22.19,119.28,474.93,1089.55,4602.15,5.0,3.77,4.66,1.06,0.87,0.21,-0.67,mp-1346333,mp-753,Spacegroup object (14),Spacegroup object (61),0.06,0.00,3.77,0.03,-,-,No,Sb + ZnF2,Complete
455,405,ZnSbF6,ZnSb,2.48,21.04,149.53,533.97,1322.93,5241.29,6.0,3.66,4.66,1.10,0.87,0.18,-0.74,mp-1400400,mp-753,Spacegroup object (148),Spacegroup object (61),0.06,0.00,0.00,0.03,-,-,No,Sb + ZnF2,Complete
456,572,LiCuF4,Li2Cu2F7,4.29,143.50,4.83,91.48,392.25,1329.77,0.5,7.60,7.99,1.11,2.19,2.23,0.35,mp-753257,mp-758696,Spacegroup object (14),Spacegroup object (2),0.00,0.03,0.83,0.03,0.49,-,No,LiCu2F6 + 0.5 Li3CuF6,Partial
457,726,VZnF6,VZnF5,3.72,111.22,19.36,116.36,432.39,1487.06,1.0,82.66,89.91,19.04,19.00,19.04,1.28,mp-1392784,mp-1394906,Spacegroup object (148),Spacegroup object (15),0.04,0.04,0.00,0.03,-,-,No,VF4 + ZnF2,Partial
458,664,Na3UF8,Na3UF7,1.89,166.01,-2.99,58.39,110.27,506.25,1.0,53.50,55.72,24.55,24.52,24.55,1.39,mp-864913,mp-35589,Spacegroup object (139),Spacegroup object (8),0.01,0.03,0.00,0.06,-,-,No,NaUF6 + 2 NaF,Partial
459,391,Mn2O3F,Mn2O3,3.69,61.63,10.90,151.53,559.21,2665.13,1.0,1.39,1.31,0.25,0.21,0.25,-0.61,mp-1176477,mp-1172875,Spacegroup object (74),Spacegroup object (61),0.05,0.00,0.00,0.07,2.87,-,No,MnO2 + 0.3333 MnF2,Complete
460,473,Li2AgF6,Li6Ag3F10,4.63,39.96,26.06,303.17,1403.16,5154.59,2.7,244.28,310.60,57.59,172.46,21.60,1.33,mp-765413,mp-760133,Spacegroup object (136),Spacegroup object (33),0.00,0.06,0.00,0.08,0.89,-,No,AgF2 + 2 LiF,Partial
461,722,Li2AgF4,Li6Ag3F10,3.78,125.25,-1.22,90.36,341.76,1343.96,0.7,290.84,310.60,57.51,172.46,86.27,1.94,mp-761269,mp-760133,Spacegroup object (15),Spacegroup object (33),0.03,0.06,0.38,0.08,-,-,No,AgF2 + 2 LiF,Partial
462,736,Li2AgF5,Li6Ag3F10,4.31,60.20,18.70,206.09,888.11,3185.60,1.7,265.52,310.60,57.55,172.46,34.53,1.54,mp-760778,mp-760133,Spacegroup object (15),Spacegroup object (33),0.04,0.06,0.41,0.08,-,-,No,AgF2 + 2 LiF,Partial
463,343,Rb3SbF6,Rb3Sb,1.41,38.60,13.62,326.75,459.13,1620.20,6.0,8077.12,10511.22,3975.19,3974.96,662.53,2.82,mp-1113923,mp-16319,Spacegroup object (225),Spacegroup object (194),0.02,0.00,3.79,0.09,-,-,No,Rb5Sb4 + 7 RbF,Complete
464,299,MnVP2(O4F)2,MnV(PO4)2,3.52,88.50,15.97,160.57,564.89,1769.07,2.0,56.94,63.99,19.01,18.93,9.50,0.98,mp-777048,mp-768621,Spacegroup object (2),Spacegroup object (146),0.00,0.00,1.16,0.10,-,-,No,VP2O7 + 0.5 Mn2P2O7 + 0.25 MnV2O6 + 0.25 MnF2,Complete
465,347,K3AsF6,K3As,1.49,32.11,24.65,525.16,779.91,2058.67,6.0,5.97,8.32,1.83,1.60,0.30,-0.52,mp-1111501,mp-14018,Spacegroup object (225),Spacegroup object (194),0.02,0.00,4.34,0.11,2.47,-,No,K5As4 + 7 KF,Complete
466,278,KTlF4,KTl,2.18,25.30,21.44,335.57,730.48,3828.54,4.0,2688.99,3527.64,859.07,858.91,214.77,2.33,mp-27209,mp-863730,Spacegroup object (144),Spacegroup object (64),0.00,0.00,2.35,0.12,0.28,-,No,K8Tl11 + 3 KF,Complete
467,388,KTlF3,KTl,1.87,36.67,32.01,267.59,500.45,2269.54,3.0,2858.89,3527.64,859.03,858.91,286.34,2.46,mp-1111295,mp-863730,Spacegroup object (225),Spacegroup object (64),0.05,0.00,1.96,0.12,-,-,No,K8Tl11 + 3 KF,Complete
468,182,TlTeF5,TlTe,2.67,26.64,95.77,313.85,839.47,4469.00,5.0,2029.87,2610.11,866.70,866.51,173.34,2.24,mp-29903,mp-2048,Spacegroup object (62),Spacegroup object (137),0.00,0.00,4.45,0.12,-,-,No,Tl2Te3 + TlF,Complete
469,411,KBi2F7,KBi2,2.03,23.63,49.36,317.96,644.06,3815.33,7.0,5.81,6.92,3.43,3.16,0.49,-0.31,mp-675634,mp-23279,Spacegroup object (1),Spacegroup object (227),0.07,0.00,4.68,0.14,-,-,No,Bi + 0.5 KF,Complete
470,225,K2NaAsF6,K2NaAs,1.45,27.18,22.11,554.33,805.96,2381.06,6.0,4.80,6.61,1.39,1.16,0.23,-0.63,mp-1111108,mp-34127,Spacegroup object (225),Spacegroup object (194),0.00,0.00,4.50,0.15,0.74,-,No,K5As4 + 2 Na3As + 7 KF,Complete
471,137,EuMoO4F,EuMoO4,3.16,108.47,24.06,81.00,256.30,1298.31,1.0,26.19,27.66,8.67,8.63,8.67,0.94,mp-582540,mp-1095254,Spacegroup object (14),Spacegroup object (88),0.00,0.00,0.00,0.17,-,-,No,EuMoO4 + 5 MoO3 + Eu2MoO6 + Eu4O3F7,Complete
472,196,Cs3BiF6,Cs3Bi,1.25,44.39,22.85,222.82,278.41,1252.75,6.0,34145.31,40549.83,24642.23,24642.00,4107.04,3.61,mp-1112606,mp-635413,Spacegroup object (225),Spacegroup object (225),0.00,0.00,4.59,0.18,-,-,No,CsBi + 2 CsF,Complete
473,751,Li2CoOF3,Li2CoOF2,3.36,74.17,34.90,183.81,617.12,2014.54,1.0,22.01,25.01,3.21,3.17,3.21,0.51,mp-754749,mp-760048,Spacegroup object (12),Spacegroup object (129),0.05,0.04,0.68,0.18,-,4.06,No,Co3O4 + 8 LiF + CoF2,Partial
474,125,Mn2O2F9,MnO,3.89,19.72,291.02,770.99,3002.04,8787.94,9.0,1.75,1.44,0.55,0.10,0.06,-1.21,mp-27807,mp-19006,Spacegroup object (15),Spacegroup object (225),0.00,0.00,0.61,0.18,-,-,No,Mn3O4 + MnF2,Complete
475,336,MnOF,MnO,2.73,34.90,53.80,298.01,813.20,3479.67,1.0,1.56,1.44,0.14,0.10,0.14,-0.85,mp-755209,mp-19006,Spacegroup object (65),Spacegroup object (225),0.02,0.00,0.01,0.18,0.40,-,No,Mn3O4 + MnF2,Complete
476,389,Mn5O5F,MnO,2.76,155.17,36.76,71.72,197.60,790.17,1.0,1.47,1.44,0.55,0.10,0.55,-0.26,mp-753550,mp-19006,Spacegroup object (156),Spacegroup object (225),0.05,0.00,0.00,0.18,1.04,-,No,MnO + 0.1667 Mn3O4 + 0.1667 MnF2,Complete
477,402,Mn7O7F,MnO,3.09,211.93,33.41,51.99,160.79,649.52,1.0,1.47,1.44,0.76,0.10,0.76,-0.12,mp-753904,mp-19006,Spacegroup object (156),Spacegroup object (225),0.06,0.00,0.00,0.18,0.50,-,No,MnO + 0.1 Mn3O4 + 0.1 MnF2,Complete
478,407,CsRb2BiF6,CsRb2Bi,1.35,43.72,33.55,256.55,345.92,1372.55,6.0,17333.14,21185.52,10864.62,10864.39,1810.77,3.26,mp-1111460,mp-1185546,Spacegroup object (225),Spacegroup object (225),0.07,0.00,4.12,0.19,-,-,No,CsBi + 2 RbF,Complete
479,593,V4(OF3)3,V4O3F5,2.52,53.99,50.05,253.59,638.12,2074.44,4.0,177.24,215.65,74.93,74.78,18.73,1.27,mp-775103,mp-754530,Spacegroup object (1),Spacegroup object (44),0.00,0.06,1.40,0.21,-,-,No,VOF + 0.3333 VF3,Partial
480,105,KSb2F7,KSb2,2.04,25.70,62.12,451.41,920.39,3531.33,7.0,5.25,6.77,2.18,1.91,0.31,-0.51,mp-27389,mp-29055,Spacegroup object (14),Spacegroup object (12),0.00,0.00,3.88,0.22,-,-,No,Sb + 0.5 KF,Complete
481,707,BaCrF7,BaCrF6,5.86,137.36,16.05,83.15,487.06,1897.76,1.0,2.46,2.48,0.79,0.75,0.79,-0.10,mp-1048114,mp-559246,Spacegroup object (14),Spacegroup object (166),0.03,0.00,0.00,0.24,-,0.75,No,BaCrF6 + 0.5 BaF3 + 0.5 CrF6,Partial
482,261,RbBiF6,RbBi,2.61,25.33,60.32,393.72,1026.64,4581.79,6.0,3247.27,4503.61,1326.31,1326.08,221.05,2.34,mp-27421,mp-31105,Spacegroup object (148),Spacegroup object (14),0.00,0.00,2.64,0.24,0.36,-,No,RbBi2 + RbF,Complete
483,392,RbBiF4,RbBi,1.82,27.49,15.99,289.40,525.83,2941.77,4.0,3580.14,4503.61,1326.23,1326.08,331.56,2.52,mp-615746,mp-31105,Spacegroup object (227),Spacegroup object (14),0.06,0.00,2.88,0.24,-,-,No,RbBi2 + RbF,Complete
484,224,CsBiF6,CsBi,2.59,28.03,61.08,352.75,914.44,4115.62,6.0,18020.49,24028.15,8215.12,8214.89,1369.19,3.14,mp-27422,mp-1205121,Spacegroup object (148),Spacegroup object (14),0.00,0.00,2.82,0.25,0.48,-,No,CsBi2 + CsF,Complete
485,796,Li3Mn2P2O8F3,Li3Mn2P2(O4F)2,4.14,217.82,13.19,70.97,293.65,845.39,1.0,5.93,6.14,2.24,2.20,2.24,0.35,mp-1290947,mp-759305,Spacegroup object (8),Spacegroup object (7),0.07,0.02,0.00,0.25,-,-,No,LiMnPO4F + 0.5 LiF,Partial
486,359,MnPO4F,MnPO4,4.23,84.75,22.88,158.68,671.98,2223.89,1.0,1.37,1.29,0.23,0.19,0.23,-0.64,mp-25426,mp-777460,Spacegroup object (2),Spacegroup object (62),0.03,0.00,0.00,0.25,-,-,No,MnP2O7 + MnF3 + MnPO4 + O,Complete
487,702,LiMnOF2,Li3Mn3O3F5,2.81,171.35,6.06,77.10,216.99,731.01,0.3,6.54,6.81,0.76,2.24,2.28,0.36,mp-776488,mp-753322,Spacegroup object (15),Spacegroup object (8),0.02,0.06,0.99,0.26,-,-,No,MnO2 + 2 LiF + MnF2,Partial
488,491,LiVF5,Li2V2F7,2.81,61.89,29.46,262.98,740.03,2023.58,1.5,127.00,155.64,19.42,38.72,12.94,1.11,mp-760803,mp-760262,Spacegroup object (62),Spacegroup object (14),0.00,0.05,1.81,0.26,0.48,-,No,LiVF4,Partial
489,553,LiVF6,Li2V2F7,3.21,46.32,61.48,389.84,1252.25,3086.36,2.5,113.18,155.64,19.45,38.72,7.78,0.89,mp-753571,mp-760262,Spacegroup object (225),Spacegroup object (14),0.00,0.05,3.08,0.26,1.73,-,No,LiVF4,Partial
490,68,RbSb2F7,RbSb2,2.02,27.30,50.12,406.10,822.34,3301.70,7.0,2871.20,4031.03,1326.43,1326.16,189.49,2.28,mp-557260,mp-568018,Spacegroup object (14),Spacegroup object (12),0.00,0.00,4.27,0.27,-,-,No,Sb + 0.5 RbF,Complete
491,33,LiAgF4,LiAg,3.00,19.97,145.58,561.87,1685.15,6684.81,4.0,298.38,494.55,56.93,56.78,14.23,1.15,mp-765559,mp-2426,Spacegroup object (15),Spacegroup object (221),0.00,0.00,1.13,0.27,8.53,-,No,LiAg3 + 2 LiF,Complete
492,152,LiAgF6,LiAg,3.92,17.03,214.17,702.84,2756.35,10249.06,6.0,249.16,494.55,57.01,56.78,9.50,0.98,mp-859118,mp-2426,Spacegroup object (206),Spacegroup object (221),0.00,0.00,0.46,0.27,-,-,No,LiAg3 + 2 LiF,Complete
493,345,LiAgF2,LiAg,1.74,25.65,57.72,350.79,609.84,3016.63,2.0,372.07,494.55,56.86,56.78,28.43,1.45,mp-1176792,mp-2426,Spacegroup object (166),Spacegroup object (221),0.02,0.00,1.89,0.27,1.14,-,No,LiAg3 + 2 LiF,Complete
494,377,LiAgF3,LiAg,2.55,21.93,102.24,468.00,1192.93,5174.13,3.0,331.15,494.55,56.89,56.78,18.96,1.28,mp-752699,mp-2426,Spacegroup object (65),Spacegroup object (221),0.05,0.00,0.00,0.27,-,-,No,LiAg3 + 2 LiF,Complete
495,58,NbO2F,NbO2,1.89,59.96,64.06,186.25,351.99,1402.82,1.0,47.69,54.64,6.86,6.82,6.86,0.84,mp-752467,mp-557057,Spacegroup object (9),Spacegroup object (88),0.00,0.00,2.21,0.28,13.88,-,No,Nb2O2F3 + 0.4 Nb12O29,Complete
496,273,Cs2SbF5,Cs2Sb,1.46,36.82,21.17,277.70,405.93,1766.64,5.0,34043.25,42386.62,16428.01,16427.82,3285.60,3.52,mp-1214796,mp-1191118,Spacegroup object (63),Spacegroup object (62),0.00,0.00,4.72,0.28,-,-,No,CsSb + CsF,Complete
497,500,Li3CuF6,Li3CuF5,3.54,105.72,0.47,135.12,477.71,1488.38,1.0,11.84,12.88,2.35,2.31,2.35,0.37,mp-760255,mp-759433,Spacegroup object (15),Spacegroup object (15),0.00,0.07,0.33,0.32,-,-,No,LiCu2F6 + 5 LiF,Partial
498,798,Mn2OF4,Mn2OF3,3.98,95.80,27.54,132.77,528.38,1848.90,1.0,1.76,1.73,0.36,0.32,0.36,-0.45,mp-1295109,mp-755331,Spacegroup object (4),Spacegroup object (74),0.07,0.04,0.95,0.33,-,0.72,No,MnF3 + 0.5 MnO2 + 0.5 MnF2,Partial
499,270,LiAsF6,LiAs,2.44,16.96,178.03,821.07,2001.02,6394.86,6.0,4.57,8.13,0.89,0.67,0.15,-0.83,mp-9144,mp-7943,Spacegroup object (148),Spacegroup object (14),0.00,0.00,5.14,0.33,5.95,-,No,As + LiF,Complete
500,412,TaO2F,TaO2,1.65,62.15,72.80,115.55,190.48,1180.45,1.0,238.91,260.04,55.41,55.37,55.41,1.74,mp-1217888,mp-510,Spacegroup object (123),Spacegroup object (88),0.07,0.06,1.51,0.35,1.23,-,No,Ta3O7F + 0.5 Ta,Complete
501,168,BaTe2F10,BaTe2,2.53,21.15,76.63,460.10,1164.12,5323.13,10.0,28.54,41.38,16.62,16.24,1.66,0.22,mp-29177,mp-2150,Spacegroup object (15),Spacegroup object (140),0.00,0.00,4.87,0.35,-,-,No,BaTe3 + 0.5 BaF2,Complete
502,468,NaVF4,Na2V2F7,1.79,167.29,10.69,89.38,160.30,477.13,0.5,125.84,134.22,18.87,37.70,37.73,1.58,mp-17999,mp-1120785,Spacegroup object (14),Spacegroup object (15),0.00,0.01,0.00,0.37,-,-,No,Na3VF6 + 2 VF3,Partial
503,599,NaVF6,Na2V2F7,3.27,46.21,52.88,356.55,1167.45,3153.45,2.5,100.80,134.22,18.94,37.70,7.58,0.88,mp-1120731,mp-1120785,Spacegroup object (62),Spacegroup object (15),0.00,0.01,3.25,0.37,-,-,No,Na3VF6 + 2 VF3,Partial
504,25,RbAuF4,RbAu,2.90,30.78,65.92,299.10,867.23,4192.76,4.0,28315.33,35933.49,10149.01,10148.85,2537.25,3.40,mp-3419,mp-30373,Spacegroup object (140),Spacegroup object (221),0.00,0.00,2.45,0.37,0.79,-,No,Rb2Au3 + RbF,Complete
505,470,Li2AgF6,Li2AgF4,4.91,53.28,27.62,227.38,1116.49,4101.48,2.0,244.28,290.84,57.59,57.51,28.79,1.46,mp-765413,mp-761269,Spacegroup object (136),Spacegroup object (15),0.00,0.03,0.00,0.38,0.35,-,No,LiAgF4 + LiF,Partial
506,734,Li2AgF5,Li2AgF4,4.66,100.34,20.17,123.66,576.31,2067.19,1.0,265.52,290.84,57.55,57.51,57.55,1.76,mp-760778,mp-761269,Spacegroup object (15),Spacegroup object (15),0.04,0.03,0.41,0.38,-,-,No,LiAgF4 + LiF,Partial
507,1,RbPbF3,RbPb,1.38,36.47,19.22,229.95,317.46,1684.59,3.0,3790.16,4527.88,1325.28,1325.17,441.76,2.65,mp-1540546,mp-21525,Spacegroup object (161),Spacegroup object (142),0.00,0.00,3.82,0.41,-,-,No,Rb4Pb9 + 5 RbF,Complete
508,103,KBiF6,KBi,2.62,25.36,78.95,444.14,1162.23,4592.18,6.0,5.70,7.39,2.06,1.83,0.34,-0.46,mp-557724,mp-31104,Spacegroup object (132),Spacegroup object (14),0.00,0.00,2.44,0.41,-,-,No,KBi2 + KF,Complete
509,365,KBiF4,KBi,1.76,25.97,22.15,330.81,583.22,3021.56,4.0,6.13,7.39,1.99,1.83,0.50,-0.30,mp-581857,mp-31104,Spacegroup object (227),Spacegroup object (14),0.04,0.00,3.23,0.41,0.64,-,No,KBi2 + KF,Complete
510,710,Li2Cu3F11,Li2Cu3F9,4.80,104.59,23.29,129.63,622.50,2043.47,2.0,6.59,7.05,2.72,2.65,1.36,0.13,mp-1178131,mp-867599,Spacegroup object (11),Spacegroup object (2),0.03,0.05,0.00,0.41,-,-,No,LiCu2F6 + 0.3333 LiF,Partial
511,88,BaAs2F12,BaAs2,2.58,22.69,194.91,624.32,1607.72,5051.20,12.0,1.29,0.72,0.67,0.21,0.06,-1.26,mp-1214710,mp-31243,Spacegroup object (221),Spacegroup object (7),0.00,0.00,3.99,0.41,-,-,No,BaAs3 + 0.5 BaF2,Complete
512,333,V6O11F,V6O11,2.69,191.75,5.58,53.53,144.25,625.40,1.0,223.58,232.32,111.93,111.89,111.93,2.05,mp-754260,mp-30518,Spacegroup object (1),Spacegroup object (2),0.02,0.01,0.22,0.43,0.60,-,No,V2O3F + 4 VO2,Complete
513,782,V3O5F3,V3O5F,3.45,64.61,33.55,184.95,637.46,2373.93,2.0,193.43,222.32,56.06,55.98,28.03,1.45,mp-759530,mp-763350,Spacegroup object (9),Spacegroup object (7),0.06,0.00,0.00,0.43,0.83,0.83,No,VO2 + 0.2 VF3,Partial
514,93,RbTeF5,RbTe,2.46,26.80,36.23,435.00,1068.75,4080.09,5.0,4327.23,6255.54,1333.04,1332.85,266.61,2.43,mp-556785,mp-9064,Spacegroup object (62),Spacegroup object (189),0.00,0.00,4.87,0.44,-,-,No,Rb2Te3 + RbF,Complete
515,221,Eu3B2(O2F)3,Eu3(BO3)2,2.10,58.18,15.54,127.52,267.46,1604.26,3.0,23.04,25.12,14.52,14.41,4.84,0.68,mp-1213384,mp-505346,Spacegroup object (15),Spacegroup object (167),0.00,0.00,0.00,0.46,1.71,-,No,EuF2 + 2 EuBO3,Complete
516,671,Li3V2F12,Li3V2F8,2.95,69.79,76.86,305.70,903.22,1884.13,4.0,112.60,143.19,39.49,39.33,9.87,0.99,mp-760783,mp-752901,Spacegroup object (14),Spacegroup object (14),0.01,0.07,0.25,0.48,-,-,No,LiVF4 + 0.5 LiF,Partial
517,767,Li3V2F9,Li3V2F8,1.80,162.53,2.98,91.26,164.32,493.05,1.0,134.06,143.19,39.37,39.33,39.37,1.60,mp-767772,mp-752901,Spacegroup object (158),Spacegroup object (14),0.05,0.07,3.17,0.48,-,-,No,LiVF4 + 0.5 LiF,Partial
518,327,Sb2Te(SeF5)2,Sb2TeSe2,2.76,30.37,99.01,372.75,1027.37,4039.50,10.0,18.46,24.37,13.27,12.89,1.33,0.12,mp-6407,mp-8612,Spacegroup object (61),Spacegroup object (160),0.01,0.00,1.76,0.49,-,-,No,Sb2Se3 + 0.75 SbTe2 + 0.25 SbF3,Complete
519,414,NaV2O4F,NaV2O4,2.69,107.42,43.91,128.93,347.08,1115.25,1.0,179.95,197.85,37.41,37.37,37.41,1.57,mp-1220916,mp-1296331,Spacegroup object (31),Spacegroup object (31),0.07,0.01,1.69,0.49,-,-,No,Na2V3O7 + 0.5 NaF + V2O3,Complete
520,356,Cu2OF2,Cu2O,3.25,41.37,109.92,296.00,962.13,3496.60,2.0,4.65,5.35,0.84,0.77,0.42,-0.38,mp-759897,mp-361,Spacegroup object (141),Spacegroup object (224),0.03,0.00,0.00,0.51,0.33,-,No,CuO + CuF2,Complete
521,792,Mn3OF8,Mn3OF5,3.93,51.66,31.28,241.60,950.10,3387.76,3.0,1.83,1.79,0.61,0.49,0.20,-0.69,mp-850899,mp-763934,Spacegroup object (9),Spacegroup object (12),0.06,0.03,0.45,0.53,-,-,No,MnF3 + 0.2 MnO2,Partial
522,372,LiCuPO4F,LiCuPO4,4.00,88.36,22.26,145.30,581.65,2016.36,1.0,5.92,6.37,1.09,1.05,1.09,0.04,mp-25405,mp-504264,Spacegroup object (2),Spacegroup object (14),0.05,0.04,0.18,0.55,-,-,No,Cu2PO5 + Li2CuP2O7 + LiF,Complete
523,348,LiMn2O3F,LiMn2O3,2.09,78.64,27.66,145.81,304.28,1181.05,1.0,4.49,4.77,0.83,0.79,0.83,-0.08,mp-753835,mp-1639950,Spacegroup object (62),Spacegroup object (1),0.02,0.03,0.77,0.55,0.39,-,No,LiMnO2 + LiF + Mn3O4,Complete
524,108,CsSbF6,CsSb,2.15,26.53,60.29,436.20,936.56,3602.42,6.0,22282.27,32255.11,8214.49,8214.26,1369.08,3.14,mp-9636,mp-573514,Spacegroup object (148),Spacegroup object (19),0.00,0.00,5.04,0.56,1.91,-,No,Cs5Sb8 + 3 CsF,Complete
525,226,CsSbF4,CsSb,1.83,32.04,29.07,324.22,594.36,2546.53,4.0,24842.55,32255.11,8214.41,8214.26,2053.60,3.31,mp-29296,mp-573514,Spacegroup object (55),Spacegroup object (19),0.00,0.00,4.40,0.56,-,-,No,Cs5Sb8 + 3 CsF,Complete
526,440,EuZrF7,EuZrF6,3.05,149.95,30.54,71.25,217.51,906.08,1.0,22.20,23.27,8.35,8.31,8.35,0.92,mp-1212789,mp-1212698,Spacegroup object (4),Spacegroup object (67),0.00,0.00,0.14,0.56,-,1.62,No,EuZr3F15 + 2 EuF2,Partial
527,193,CuClF10,CuCl,4.76,18.49,368.43,927.44,4416.57,11463.65,10.0,2.65,3.88,0.77,0.38,0.08,-1.12,mp-29279,mp-22914,Spacegroup object (14),Spacegroup object (216),0.00,0.00,0.00,0.56,-,-,No,CuCl2 + CuF2,Complete
528,556,Os(OF2)2,OsO2F3,3.98,101.43,7.74,89.87,357.79,1746.83,1.0,7655.08,8175.80,2282.92,2282.88,2282.92,3.36,mp-757594,mp-559897,Spacegroup object (169),Spacegroup object (14),0.00,0.02,1.47,0.57,-,-,No,OsOF5 + 0.5 OsO4,Partial
529,309,V4O7F5,V4O7,3.17,42.11,79.12,326.25,1033.06,3346.55,5.0,182.07,236.24,74.79,74.60,14.96,1.17,mp-752866,mp-555597,Spacegroup object (1),Spacegroup object (2),0.01,0.02,1.13,0.59,-,-,No,V2O3F + 2 VO2,Complete
530,22,RbAsF6,RbAs,2.33,22.24,82.14,586.08,1368.44,4673.09,6.0,4829.31,8260.13,1325.07,1324.84,220.84,2.34,mp-9819,mp-10802,Spacegroup object (148),Spacegroup object (19),0.00,0.00,5.07,0.59,2.13,-,No,Rb2As3 + RbF,Complete
531,98,NaAsF6,NaAs,2.40,19.97,144.96,758.88,1822.19,5352.23,6.0,1.82,1.59,0.38,0.16,0.06,-1.19,mp-1079088,mp-1106381,Spacegroup object (148),Spacegroup object (14),0.00,0.00,5.14,0.59,-,-,No,Na3As7 + 4 NaF,Complete
532,334,Rb3BiF6,Rb3Bi,1.30,40.30,12.66,277.56,360.50,1434.41,6.0,6862.25,8542.59,3975.81,3975.58,662.64,2.82,mp-1113922,mp-569095,Spacegroup object (225),Spacegroup object (194),0.02,0.00,4.49,0.60,-,-,No,RbBi + 2 RbF,Complete
533,9,NaSbF4,NaSb,1.83,25.14,64.51,485.66,887.49,3234.67,4.0,4.20,5.35,0.93,0.77,0.23,-0.63,mp-29269,mp-7944,Spacegroup object (14),Spacegroup object (14),0.00,0.00,4.31,0.60,-,-,No,Sb + NaF,Complete
534,30,NaSbF6,NaSb,2.19,25.32,148.45,621.51,1359.05,3844.30,6.0,3.88,5.35,1.00,0.77,0.17,-0.78,mp-5955,mp-7944,Spacegroup object (225),Spacegroup object (14),0.00,0.00,4.89,0.60,1.72,-,No,Sb + NaF,Complete
535,207,KSbF4,KSb,1.82,28.65,43.77,452.63,822.53,2823.30,4.0,5.75,7.52,1.36,1.21,0.34,-0.47,mp-5079,mp-1536,Spacegroup object (59),Spacegroup object (14),0.00,0.00,4.43,0.61,-,-,No,KSb2 + KF,Complete
536,284,KSbF6,KSb,2.17,23.43,76.36,585.08,1271.20,4127.63,6.0,5.23,7.52,1.44,1.21,0.24,-0.62,mp-541908,mp-1536,Spacegroup object (206),Spacegroup object (14),0.00,0.00,4.96,0.61,0.83,-,No,KSb2 + KF,Complete
537,393,Cs3SbF6,Cs3Sb,1.36,42.97,26.13,253.46,344.23,1406.69,6.0,38838.29,47343.89,24641.60,24641.38,4106.93,3.61,mp-1112602,mp-10378,Spacegroup object (225),Spacegroup object (225),0.06,0.00,3.87,0.61,-,-,No,Cs2Sb + CsF,Complete
538,383,V3O7F,V3O7,3.94,135.62,5.33,94.43,371.77,1291.97,1.0,197.27,211.28,55.99,55.95,55.99,1.75,mp-759631,mp-622640,Spacegroup object (62),Spacegroup object (15),0.05,0.01,1.06,0.63,1.18,-,No,V2OF5 + 11 V2O5,Complete
539,778,Li5MnO3F2,Li5MnO3F,0.94,107.22,-2.18,152.59,143.42,390.12,1.0,17.55,19.43,3.08,3.04,3.08,0.49,mp-753558,mp-759969,Spacegroup object (12),Spacegroup object (12),0.05,0.07,0.99,0.63,0.51,-,No,LiMnO2 + Li6MnO4 + 3 LiF,Partial
540,292,Li2NiO2F,Li2NiO2,2.16,51.80,20.22,216.89,468.30,1855.03,1.0,16.33,18.93,2.02,1.98,2.02,0.30,mp-1272313,mp-19308,Spacegroup object (12),Spacegroup object (164),0.00,0.00,0.47,0.66,0.44,-,No,Li5NiO4 + 2 NiO + LiF,Complete
